product_number,name,price,inventory,description,tags
QW-SMAF-144-X,144MHz Quarter Wave Antenna,30,1,"144MHz Quarter Wave Whip Antenna
• Tuned for the 2m (144MHz) Amateur Radio Band
• Available in Black, Red, Green or Blue colors
• SMA Female Connector (fits Baofeng & other Chinese radios)
• Quarter Wavelength on VHF 144MHz, Three-Quarter Wavelength on UHF 440MHz",antenna|SMA|Baofeng|Quansheng
QW-SMAF-223-X,224MHz Quarter Wave Antenna,30,2,"223MHz Quarter Wave Whip Antenna
• Tuned for the 1.25m (223MHz) Amateur Radio Band
• Available in Black, Red, Green or Blue colors
• SMA Female Connector (fits Baofeng & other Chinese radios)",antenna|SMA|Baofeng|Quansheng
